chapter,verse,sanskrit,hindi,english,transliteration
4,24,ब्रह्मार्पणं ब्रह्म हविर्ब्रह्माग्नौ ब्रह्मणा हुतम् |ब्रह्मैव तेन गन्तव्यं ब्रह्मकर्मसमाधिना |,जिस यज्ञ में अर्पण अर्थात् सुगंध आदि भी ब्रह्म है और हवन किये जाने योग्य द्रव्य भी ब्रह्म हैं तथा ब्रह्मरूप कर्ता के द्वारा ब्रह्मरूप अग्नि में आहुति देना रूप क्रिया भी ब्रह्म है—उस ब्रह्म कर्म में स्थित रहने वाले योगी द्वारा प्राप्त किये जाने योग्य फल भी ब्रह्म ही हैं |,"In the practice of seeing Brahma everywhere as a form of sacrifice Brahma is the ladle; Brahma, again, is the oblation; Brahma is the fire, Brahma itself",brahmārpaṇaṃ brahma havirbrahmāgnau brahmaṇā hutam .brahmaiva tena gantavyaṃ brahmakarmasamādhinā 
4,25,दैवमेवापरे यज्ञं योगिनः पर्युपासते |ब्रह्माग्नावपरे यज्ञं यज्ञेनैवोपजुह्वति |,दूसरे योगीजन देवताओं के पूजन रूप यज्ञ का ही भलीभाँति अनुष्ठान किया करते हैं और अन्य योगीजन परब्रह्म परमात्मा रूप अग्नि में अभेद दर्शन रूप यज्ञ के द्वारा ही आत्म रूप यज्ञ का हवन किया करते हैं |,Other yogis duly offer sacrifice only in the shape of worship to gods. Others pour into the fire of Brahma the very sacrifice in the shape of the self through the sacrifice known as the perception of identity.,daivamevāpare yajñaṃ yoginaḥ paryupāsate .brahmāgnāvapare yajñaṃ yajñenaivopajuhvati 
4,26,श्रोत्रादीनीन्द्रियाण्यन्ये संयमाग्निषु जुह्वति |शब्दादीन्विषयानन्य इन्द्रियाग्निषु जुह्वति |,प्रसंग - इस प्रकार देवयज्ञ और अभेददर्शन रूप यज्ञ का वर्णन करने के अन्तर्गत अब इन्द्रिय संयम रूप यज्ञ का और विषय हवन रूप का वर्णन करते हैं -,"Offer the sacrifice of the senses, beginning with the ears, to the self alone. Offer the sacrifice of the objects of the senses, beginning with sound, to the senses themselves.",śrotrādīnīndriyāṇyanye saṃyamāgniṣu juhvati .śabdādīnviṣayānanya indriyāgniṣu juhvati 
4,27,सर्वाणीन्द्रियकर्माणि प्राणकर्माणि चापरे |आत्मसंयमयोगाग्नौ जुह्वति ज्ञानदीपिते |,दूसरे योगीजन इन्द्रियों की सम्पूर्ण क्रियाओं को और प्राणों की समस्त क्रियाओं को ज्ञान से प्रकाशित आत्म संयम योग रूप अग्नि में हवन किया करते हैं |,"Others sacrifice all the functions of their senses and the functions of the vital airs into the fire of Yoga in the shape of self-control, kindled by wisdom.",sarvāṇīndriyakarmāṇi prāṇakarmāṇi cāpare .ātmasaṃyamayogāgnau juhvati jñānadīpite 
4,28,द्रव्ययज्ञास्तपोयज्ञा योगयज्ञास्तथापरे |स्वाध्यायज्ञानयज्ञाश्च यतयः संशितव्रताः |,"कई पुरुष द्रव्य सम्बन्धी यज्ञ करने वाले हैं, कितने ही तपस्या रूप यज्ञ करने वाले हैं तथा दूसरे कितने ही योग रूप यज्ञ करने वाले हैं और कितने ही अहिंसादि तीव्रं व्रतों से युक्त यलशील पुरुष स्वाध्याय रूप ज्ञान यज्ञ करने वाले हैं |","Some perform sacrifice with material possessions; some offer sacrifice in the shape of austerities; others sacrifice through the practice of Yoga; while some striving souls, observing austere vows, perform sacrifice in the shape of wisdom through the study of sacred texts.",dravyayajñāstapoyajñā yogayajñāstathāpare .svādhyāyajñānayajñāśca yatayaḥ saṃśitavratāḥ 
4,29,अपाने जुह्वति प्राणं प्राणेऽपानं तथापरे |प्राणापानगती रुद्ध्वा प्राणायामपरायणाः |,"दूसरे कितने ही योगी जन अपानवायु में प्राणवायु को हवन करते हैं, वैसे ही अन्य योगीजन प्राणवायु में अपानवायु को हवन करते हैं तथा अन्य कितने ही नियमपूर्वक आहार करने वाले प्राणायाम परायण पुरुष प्राण और अपान की गति को रोककर प्राणों को प्राणों में ही हवन किया करते हैं|","Other yogis offer the act of exhalation into that of inhalation even; so others, the act of inhalation into that of exhalation. There are still others given to the practice of Pranayama, who having regulated their diet and controlled the processes of exhalation and inhalation both pour their vital airs into the vital airs themselves.",apāne juhvati prāṇaṃ prāṇe.apānaṃ tathāpare .prāṇāpānagatī ruddhvā prāṇāyāmaparāyaṇāḥ 
4,30,अपरे नियताहाराः प्राणान्प्राणेषु जुह्वति |सर्वेऽप्येते यज्ञविदो यज्ञक्षपितकल्मषाः |,ये सभी साधक यज्ञों द्वारा पापों का नाश कर देने वाले और यज्ञों को जानने वाले हैं|,"All these are knowers of sacrifice, whose sins are destroyed by sacrifice.",apare niyatāhārāḥ prāṇānprāṇeṣu juhvati .sarve.apyete yajñavido yajñakṣapitakalmaṣāḥ 
4,31,यज्ञशिष्टामृतभुजो यान्ति ब्रह्म सनातनम् |नायं लोकोऽस्त्ययज्ञस्य कुतोऽन्यः कुरुसत्तम |,"हे कुरुश्रेष्ठ ! यज्ञ के अवशिष्ट अमृत को भोगने वाले पुरुष सनातन ब्रह्म को प्राप्त होते हैं। यज्ञ रहित पुरुष को यह लोक भी नहीं मिलता,  फिर परलोक कैसे मिलेगा?","Those who eat the remnants of sacrifices go to the eternal Brahman; this world does not exist for one who does not perform sacrifices, how then can there be any fruit for him, O best of the Kurus?",yajñaśiṣṭāmṛtabhujo yānti brahma sanātanam .nāyaṃ loko.astyayajñasya kuto.anyaḥ kurusattama 
4,32,एवं बहुविधा यज्ञा वितता ब्रह्मणो मुखे |कर्मजान्विद्धि तान्सर्वानेवं ज्ञात्वा विमोक्ष्यसे |,"इसी प्रकार और भी बहुत तरह के यज्ञ वेद की वाणी में विस्तार से कहे गये हैं। उन सब को तू मन, इन्द्रिय और शरीर की क्रिया द्वारा सम्पन्न होने वाले जान, इस प्रकार तत्व से जानकर उनके अनुष्ठान द्वारा तू कर्मबन्धन से सर्वथा मुक्त हो जायेगा|","Many such forms of sacrifice have been set forth in detail through the mouth of the Vedas. Knowing all these as actions of the mind, senses, and body, you shall be freed from all bondage of actions by performing them.",evaṃ bahuvidhā yajñā vitatā brahmaṇo mukhe .karmajānviddhi tānsarvānevaṃ jñātvā vimokṣyase 
4,33,श्रेयान्द्रव्यमयाद्यज्ञाज्ज्ञानयज्ञः परन्तप |सर्वं कर्माखिलं पार्थ ज्ञाने परिसमाप्यते |,"हे परंतप अर्जुन! द्रव्यमय यज्ञ की अपेक्षा ज्ञान यज्ञ अत्यन्त श्रेष्ठ है, तथा यावन्मात्र सम्पूर्ण कर्म ज्ञान में समाप्त हो जाते हैं|","Arjuna, sacrifice through Knowledge is superior to sacrifice performed with material things. For all actions without exception culminate in Knowledge, O son of Kunti.",śreyāndravyamayādyajñājjñānayajñaḥ parantapa .sarvaṃ karmākhilaṃ pārtha jñāne parisamāpyate 
4,34,तद्विद्धि प्रणिपातेन परिप्रश्नेन सेवया |उपदेक्ष्यन्ति ते ज्ञानं ज्ञानिनस्तत्त्वदर्शिनः |,"उस ज्ञान को तू तत्त्वदर्शी ज्ञानियों के पास जाकर समझ, उनको भलीभाँति दण्डवत् प्रणाम करने से, उनकी सेवा करने से और कपट छोड़कर सरलतापूर्वक प्रश्न करने से वे परमात्मतत्त्व को भलीभाँति जानने वाले ज्ञानी महात्मा तुझे उस तत्त्व ज्ञान का उपदेश करेंगे|","Understand the true nature of that Knowledge by approaching illumined soul. If you prostrate at their feet, render them service, and question them with an open and guileless heart, those wise seers of Truth will instruct you in that Knowledge.",tadviddhi praṇipātena paripraśnena sevayā .upadekṣyanti te jñānaṃ jñāninastattvadarśinaḥ 
4,35,यज्ज्ञात्वा न पुनर्मोहमेवं यास्यसि पाण्डव |येन भूतान्यशेषेण द्रक्ष्यस्यात्मन्यथो मयि (var अशेषाणि) |,जिसको जानकर फिर तू इस प्रकार मोह को नहीं प्राप्त होगा तथा हे अर्जुन! जिस ज्ञान के द्वारा तू सम्पूर्ण भूतों को नि:शेष भाव से पहले अपने में और पीछे मुझ सच्चिदानन्दधन परमात्मा में देखेगा|,"Arjuna, when you have reached enlightenment, ignorance will delude you no more. In the light of that Knowledge you will see the entire creation first within your own self, and then in Me.",yajjñātvā na punarmohamevaṃ yāsyasi pāṇḍava .yena bhūtānyaśeṣāṇi drakṣyasyātmanyatho mayi 
4,36,अपि चेदसि पापेभ्यः सर्वेभ्यः पापकृत्तमः |सर्वं ज्ञानप्लवेनैव वृजिनं सन्तरिष्यसि |,यदि तू अन्य सब पापियों से भी अधिक पाप करने वाला है; तो भी तू ज्ञान रूप नौका द्वारा निःसंदेह सम्पूर्ण पाप-समुद्र से भलीभाँति तर जायेगा |,"Even though you were the foulest of all sinners, this Knowledge alone would carry you, like a raft, across all your sin.",api cedasi pāpebhyaḥ sarvebhyaḥ pāpakṛttamaḥ .sarvaṃ jñānaplavenaiva vṛjinaṃ santariṣyasi 
4,37,यथैधांसि समिद्धोऽग्निर्भस्मसात्कुरुतेऽर्जुन |ज्ञानाग्निः सर्वकर्माणि भस्मसात्कुरुते तथा |,"क्योंकि हे अर्जुन! जैसे प्रज्वलित अग्नि ईंधनों को भस्ममय कर देता है, वैसे ही ज्ञानरूप अग्नि सम्पूर्ण कर्मों को भस्ममय कर देता है |","For as the blazing fire turns the fuel to ashes, Arjuna, even so the fire of Knowledge turns all actions to ashes.",yathaidhāṃsi samiddho.agnirbhasmasātkurute.arjuna .jñānāgniḥ sarvakarmāṇi bhasmasātkurute tathā 
4,38,न हि ज्ञानेन सदृशं पवित्रमिह विद्यते |तत्स्वयं योगसंसिद्धः कालेनात्मनि विन्दति |,इस संसार में ज्ञान के समान पवित्र करने वाला निःसंदेह कुछ भी नहीं है। उस ज्ञान को कितने ही काल से कर्मयोग के द्वारा शुद्धान्तःकरण हुआ मनुष्य अपने-आप ही आत्मा में पा लेता है|,"On earth there is no purifier as great as Knowledge, he who has attained purity of heart through a prolonged practice of Karmayoga automatically sees the light of Truth in the self in course of time.",na hi jñānena sadṛśaṃ pavitramiha vidyate .tatsvayaṃ yogasaṃsiddhaḥ kālenātmani vindati 
4,39,श्रद्धावाँल्लभते ज्ञानं तत्परः संयतेन्द्रियः |ज्ञानं लब्ध्वा परां शान्तिमचिरेणाधिगच्छति |,"जितेन्द्रिय, साधनपरायण और श्रद्धावान् मनुष्य ज्ञान को प्राप्त होता है तथा ज्ञान को प्राप्त होकर वह शीघ्र ही वह परम शान्ति को प्राप्त होता है।","The faithful, the devoted, and the self-controlled attain knowledge; having obtained knowledge, they soon reach supreme peace.",śraddhāvā.Nllabhate jñānaṃ tatparaḥ saṃyatendriyaḥ .jñānaṃ labdhvā parāṃ śāntimacireṇādhigacchati 
4,40,अज्ञश्चाश्रद्दधानश्च संशयात्मा विनश्यति |नायं लोकोऽस्ति न परो न सुखं संशयात्मनः |,"विवेकहीन और श्रद्धारहित संशययुक्त मनुष्य परमार्थ से अवश्य भ्रष्ट हो जाता है। ऐसे संशययुक्त मनुष्य के लिये न यह लोक है, न परलोक है और न सुख ही है |","He who lacks discrimination, is devoid of faith, and is at the same time possessed by doubt is lost to the spiritual path. For the doubting soul there is neither this world nor the world beyond, nor even happiness.",ajñaścāśraddadhānaśca saṃśayātmā vinaśyati .nāyaṃ loko.asti na paro na sukhaṃ saṃśayātmanaḥ 
4,41,योगसंन्यस्तकर्माणं ज्ञानसञ्छिन्नसंशयम् |आत्मवन्तं न कर्माणि निबध्नन्ति धनञ्जय |,"हे धनंजय! जिसने कर्मयोग की विधि से समस्त कर्मों का परमात्मा में अर्पण कर दिया है और जिसने विवेक द्वारा समस्त संशयों का नाश कर दिया है, ऐसे वश में किये हुए अन्तःकरण वाले पुरुष को कर्म नहीं बाँधते |","Arjuna, actions do not bind him who has dedicated all his actions to God according to the spirit of Karmayoga, whose doubts have been torn to shreds by wisdom, and who is self-possessed.",yogasaṃnyastakarmāṇaṃ jñānasañchinnasaṃśayam .ātmavantaṃ na karmāṇi nibadhnanti dhanañjaya 
4,42,तस्मादज्ञानसम्भूतं हृत्स्थं ज्ञानासिनात्मनः |छित्त्वैनं संशयं योगमातिष्ठोत्तिष्ठ भारत |,इसलिए हे भरतवंशी अर्जुन! तू हृदय में स्थित इस अज्ञानजनित अपने संशय का विवेक ज्ञान रूप तलवार द्वारा छेदन करके समत्वरूप कर्मयोग में स्थित हो जा और युद्ध के लिये खड़ा हो जा |,"Therefore, Arjuna, slashing to pieces, with the sword of wisdom, the doubt born of ignorance in your heart, stand firm in the yoga of equanimity and prepare for battle, O Bharata.",tasmādajñānasambhūtaṃ hṛtsthaṃ jñānāsinātmanaḥ .chittvainaṃ saṃśayaṃ yogamātiṣṭhottiṣṭha bhārata 
5,1,अर्जुन उवाच |संन्यासं कर्मणां कृष्ण पुनर्योगं च शंससि |यच्छ्रेय एतयोरेकं तन्मे ब्रूहि सुनिश्चितम् |,"अर्जुन ने कहा—हे कृष्ण! आप कर्मों के संन्यास की और फिर कर्मयोग की प्रशंसा करते हैं। इसलिए इन दोनों में से जो एक मेरे लिये भलीभाँति निश्चित कल्याणकारक साधन हो, उसको कहिये|","Arjuna said Krishna, you extol sankhyayogaand then the yoga of Action. Pray tell me which of the two is decidedly conducive to my good.",arjuna uvāca .saṃnyāsaṃ karmaṇāṃ kṛṣṇa punaryogaṃ ca śaṃsasi .yacchreya etayorekaṃ tanme brūhi suniścitam 
5,2,श्रीभगवानुवाच |संन्यासः कर्मयोगश्च निःश्रेयसकरावुभौ |तयोस्तु कर्मसंन्यासात्कर्मयोगो विशिष्यते |,"श्रीभगवान ने कहा—कर्म संन्यास और कर्मयोग—ये दोनों ही परम कल्याण के करने वाले हैं, परंतु उन दोनों में भी कर्म संन्यास से कर्मयोग साधन में सुगम होने से श्रेष्ठ है |","Shree Bhagavan said: The Yoga of Knowledge and the Yoga of Action both lead to supreme Bliss. Of the two, however, the Yoga of Actionis superior to the Yoga of Knowledge.",śrībhagavānuvāca .saṃnyāsaḥ karmayogaśca niḥśreyasakarāvubhau .tayostu karmasaṃnyāsātkarmayogo viśiṣyate 
5,3,ज्ञेयः स नित्यसंन्यासी यो न द्वेष्टि न काङ्क्षति |निर्द्वन्द्वो हि महाबाहो सुखं बन्धात्प्रमुच्यते |,"हे अर्जुन! जो पुरुष न किसी से द्वेष करता है और न किसी की आकांक्षा करता है, वह कर्मयोगी सदा संन्यासी ही समझने योग्य है, क्योंकि राग-द्वेषादि द्वन्द्वों से रहित पुरुष सुखपूर्वक संसार बन्धन से मुक्त हो जाता है |","He who neither hates nor desires, who is free from dualities, O mighty-armed Arjuna, is always regarded as a true renunciant; such a person is liberated from bondage and lives happily.",jñeyaḥ sa nityasaṃnyāsī yo na dveṣṭi na kāṅkṣati .nirdvandvo hi mahābāho sukhaṃ bandhātpramucyate 
5,4,साङ्ख्ययोगौ पृथग्बालाः प्रवदन्ति न पण्डिताः |एकमप्यास्थितः सम्यगुभयोर्विन्दते फलम् |,"उपर्युक्त संन्यास और कर्मयोग को मूर्ख लोग पृथक्-पृथक् फल देने वाले कहते हैं न कि पण्डित जन, क्योंकि दोनों में से एक में भी सम्यक् प्रकार से स्थित पुरुष दोनों के फलरूप परमात्मा को प्राप्त होता है |","It is the ignorant, not the wise, who say that Sankhyayoga and Karmayoga lead to divergent results. For one who is firmly established in either gets the fruit of both",sāṅkhyayogau pṛthagbālāḥ pravadanti na paṇḍitāḥ .ekamapyāsthitaḥ samyagubhayorvindate phalam 
5,5,यत्साङ्ख्यैः प्राप्यते स्थानं तद्योगैरपि गम्यते |एकं साङ्ख्यं च योगं च यः पश्यति स पश्यति |,"ज्ञानयोगियों द्वारा जो परमधाम प्राप्त किया जाता है, कर्मयोगियों द्वारा भी वही प्राप्त किया जाता है। इसलिये जो पुरुष ज्ञान योग और कर्मयोग को फलस्वरूप में एक देखता है, वही यथार्थ देखता है|","Thestate which is reached by the Sankhyayogi is attained also by the Karmayogi. Therefore, he alone who sees Sankhyayoga and Karmayoga as onereally sees.",yatsāṅkhyaiḥ prāpyate sthānaṃ tadyogairapi gamyate .ekaṃ sāṅkhyaṃ ca yogaṃ ca yaḥ paśyati sa paśyati 
5,6,संन्यासस्तु महाबाहो दुःखमाप्तुमयोगतः |योगयुक्तो मुनिर्ब्रह्म नचिरेणाधिगच्छति |,"परंतु हे अर्जुन! कर्मयोग के बिना संन्यास अर्थात् मन, इन्द्रिय और शरीर द्वारा होने वाला सम्पूर्ण कर्मों में कर्तापन का त्याग, प्राप्त होना कठिन है और भगवत्त्वस्वरूप को मनन करने वाला कर्मयोगी परब्रह्म परमात्मा को शीघ्र ही प्राप्त हो जाता है |","Without Karmayoga, however, Sankhyayogais difficult to accomplish; whereas the Karmayogi, who keeps his mind fixed on God, reaches Brahma in no time, Arjuna.",saṃnyāsastu mahābāho duḥkhamāptumayogataḥ .yogayukto munirbrahma nacireṇādhigacchati 
5,7,योगयुक्तो विशुद्धात्मा विजितात्मा जितेन्द्रियः |सर्वभूतात्मभूतात्मा कुर्वन्नपि न लिप्यते |,"जिसका मन अपने वश में है, जो जितेन्द्रिय एवं विशुद्ध अन्तःकरण वाला है और सम्पूर्ण प्राणियों का आत्मरूप परमात्मा ही जिसका आत्मा है, ऐसा कर्मयोगी कर्म करता हुआ भी लिप्त नहीं होता |","The Karamayogi, who has fully conquered his mind and mastered his senses, whose heart is pure, and who has identified himself with the self of all beings, remains untainted, even though performing action.",yogayukto viśuddhātmā vijitātmā jitendriyaḥ .sarvabhūtātmabhūtātmā kurvannapi na lipyate 
5,8,नैव किञ्चित्करोमीति युक्तो मन्येत तत्त्ववित् |पश्यञ्शृण्वन्स्पृशञ्जिघ्रन्नश्नन्गच्छन्स्वपञ्श्वसन् |,"तत्त्व को जानने वाला सांख्य योगी तो देखता हुआ, सुनता हुआ, स्पर्श करता हुआ, सूंघता हुआ, भोजन करता हुआ, गमन करता हुआ, सोता हुआ, श्वास लेता हुआ भी निःसन्देह ऐसा मानता है कि मैं कुछ भी नहीं करता हूँ |","The Sankhyayogi, however, who knows the reality of things, must believe, even though seeing, hearing, touching, smelling, eating or drinking, walking, sleeping, breathing, that he does nothing.",naiva kiñcitkaromīti yukto manyeta tattvavit .paśyañśruṇvanspṛśañjighrannaśnangacchansvapañśvasan 
5,9,प्रलपन्विसृजन्गृह्णन्नुन्मिषन्निमिषन्नपि |इन्द्रियाणीन्द्रियार्थेषु वर्तन्त इति धारयन् |,"बोलता हुआ, त्यागता हुआ, ग्रहण करता हुआ तथा आँखों को खोलता और मूँदता हुआ भी सब इन्द्रियाँ अपने-अपने अर्थों में प्रवृत्त हैं – ऐसा समझकर योगी निःसन्देह ऐसा मानता है कि मैं कुछ भी नहीं करता हूँ |","Speaking, letting go, grasping, opening or closing the eyes — holding that it is only the senses moving among their objects, he believes that he does nothing.",pralapanvisṛjangṛhṇannunmiṣannimiṣannapi .indriyāṇīndriyārtheṣu vartanta iti dhārayan 
5,10,ब्रह्मण्याधाय कर्माणि सङ्गं त्यक्त्वा करोति यः |लिप्यते न स पापेन पद्मपत्रमिवाम्भसा |,"जो पुरुष सब कर्मों को परमात्मा में अर्पण करके और आसक्ति को त्याग कर कर्म करता है, वह पुरुष जल से कमल के पत्ते की भाँति पाप से लिप्त नहीं होता।","He who performs his duties, abandoning attachment and dedicating all actions to the Supreme, is not tainted by sin, just as a lotus leaf is untouched by water. He who acts offering all actions to God, and shaking off attachment, remains untouched by sin, as the lotus leaf by water.",brahmaṇyādhāya karmāṇi saṅgaṃ tyaktvā karoti yaḥ .lipyate na sa pāpena padmapatramivāmbhasā 
5,11,कायेन मनसा बुद्ध्या केवलैरिन्द्रियैरपि |योगिनः कर्म कुर्वन्ति सङ्गं त्यक्त्वात्मशुद्धये |,"कर्मयोगी ममताबुद्धिरहित केवल इन्द्रिय, मन, बुद्धि और शरीर द्वारा भी आसक्ति को त्यागकर अन्तःकरण की शुद्धि के लिये कर्म करते हैं |","The Karmayogis perform action only with their senses, mind, intellect and body as well, withdrawing the feeling of mine in respect of them and shaking off attachment simply for the sake of self-purification.",kāyena manasā buddhyā kevalairindriyairapi .yoginaḥ karma kurvanti saṅgaṃ tyaktvātmaśuddhaye 
5,12,युक्तः कर्मफलं त्यक्त्वा शान्तिमाप्नोति नैष्ठिकीम् |अयुक्तः कामकारेण फले सक्तो निबध्यते |,"युक्त कर्मफल त्याग कर शान्ति प्राप्त करता है, अयुक्त काम के कारण फलों में लिप्त होकर बंध जाता है। कर्मयोगी कर्मों के फल का त्याग करके भगवान की प्राप्ति रूप शांति को प्राप्त होता है और सकामपुरुष कामना की प्रेरणा से फल में आसक्त होकर बँधता है।","One who is devoted to the path of selfless action attains lasting peace; one who is attached to the fruits of actions is bound by them. Offering the fruit of actions to God, the Karmayogi attains everlasting peace in the shape of God-Realization; whereas he who works with a selfish motive, being attached to the fruit of action through desire, gets tied down.",yuktaḥ karmaphalaṃ tyaktvā śāntimāpnoti naiṣṭhikīm .ayuktaḥ kāmakāreṇa phale sakto nibadhyate 
5,13,सर्वकर्माणि मनसा संन्यस्यास्ते सुखं वशी |नवद्वारे पुरे देही नैव कुर्वन्न कारयन् |,"अन्तःकरण जिसके वश में है, ऐसा सांख्ययोग का आचरण करने वाला पुरुष न करता हुआ और न करवाता हुआ ही नवद्वारों वाले शरीर रूप घर में सब कर्मों को मन से त्यागकर आनन्दपूर्वक सच्चिदानन्दधन परमात्मा के स्वरूप में स्थित रहता है|","The self-controlled Sankhyayoga, doing nothing himself and getting nothing done by others, rests happily in God, the embodiment, neither acting nor causing othersto act",sarvakarmāṇi manasā saṃnyasyāste sukhaṃ vaśī .navadvāre pure dehī naiva kurvanna kārayan 
5,14,न कर्तृत्वं न कर्माणि लोकस्य सृजति प्रभुः |न कर्मफलसंयोगं स्वभावस्तु प्रवर्तते |,"परमेश्वर मनुष्यों के न तो कर्तापन की, न कर्मों की और न कर्म फल के संयोग की ही रचना करते हैं; किंतु स्वभाव ही बर्त रहा है|","God determines not the doership nor the doings of men, nor even their contact with the fruit of actions; but it is Nature alone that functions.",na kartṛtvaṃ na karmāṇi lokasya sṛjati prabhuḥ .na karmaphalasaṃyogaṃ svabhāvastu pravartate 
5,15,नादत्ते कस्यचित्पापं न चैव सुकृतं विभुः |अज्ञानेनावृतं ज्ञानं तेन मुह्यन्ति जन्तवः |,"सर्वव्यापी परमेश्वर भी न किसी के पाप कर्म को और न किसी के शुभ कर्म को ही ग्रहण करता है; किंतु अज्ञान के द्वारा ज्ञान ढका हुआ है, उसी से सब अज्ञानी मनुष्य मोहित हो रहे हैं |",The omnipresent God does not receive the virtue or sin of anyone. Knowledge is enveloped in ignorance; hence it is that beings are constantly falling a prey to delusion.,nādatte kasyacitpāpaṃ na caiva sukṛtaṃ vibhuḥ .ajñānenāvṛtaṃ jñānaṃ tena muhyanti jantavaḥ 
5,16,ज्ञानेन तु तदज्ञानं येषां नाशितमात्मनः |तेषामादित्यवज्ज्ञानं प्रकाशयति तत्परम् |,"परन्तु जिसका वह अज्ञान परमात्मा के तत्व ज्ञान द्वारा नष्ट कर दिया गया है, उनका वह ज्ञान सूर्य के सदृश उस सच्चिदानन्दधन परमात्मा को प्रकाशित कर देता है|","In the case, however, to those whose said ignorance has been set aside by true Knowledge of god, that wisdom shining like the sun reveals the supreme.",jñānena tu tadajñānaṃ yeṣāṃ nāśitamātmanaḥ .teṣāmādityavajjñānaṃ prakāśayati tatparam 
5,17,तद्बुद्धयस्तदात्मानस्तन्निष्ठास्तत्परायणाः |गच्छन्त्यपुनरावृत्तिं ज्ञाननिर्धूतकल्मषाः |,"जिनका मन तद्रूप हो रहा है, जिनकी बुद्धि तद्रूप हो रही है और सच्चिदानन्दधन परमात्मा में ही जिनकी निरन्तर एकीभाव से स्थिति है, ऐसे तत्परायण पुरुष ज्ञान के द्वारा पापरहित होकर अपुनरावृति को अर्थात् परमगति को प्राप्त होते हैं।","Those whose mind and intellect are wholly merged in Him, who remain constantly established in identity with Him, and have finally become one with Him, their sins being wiped out by wisdom, reach the state whence there is no return.",tadbuddhayastadātmānastanniṣṭhāstatparāyaṇāḥ .gacchantyapunarāvṛttiṃ jñānanirdhūtakalmaṣāḥ 
5,18,विद्याविनयसम्पन्ने ब्राह्मणे गवि हस्तिनि |शुनि चैव श्वपाके च पण्डिताः समदर्शिनः |,"वे ज्ञानीजन विद्या और विनययुक्त ब्राह्मण में तथा गौ, हाथी, कुत्ते और चाण्डाल में भी समदर्शी ही होते हैं|","The wise look with the same eye on a Brahmana endowed with learning and culture, a cow, an elephant, a dog, and a pariah too.",vidyāvinayasampanne brāhmaṇe gavi hastini .śuni caiva śvapāke ca paṇḍitāḥ samadarśinaḥ 
5,19,इहैव तैर्जितः सर्गो येषां साम्ये स्थितं मनः |निर्दोषं हि समं ब्रह्म तस्माद् ब्रह्मणि ते स्थिताः |,"जिनका मन समभाव में स्थित है, उनके द्वारा इस जीवित अवस्था में ही सम्पूर्ण संसार जीत लिया गया है, क्योंकि सच्चिदानन्दघन परमात्मा निर्दोष और सम है, इससे वे सच्चिदानन्दघन परमात्मा में ही स्थित हैं |","Even here is the mortal plane conquered by those whose mind is established in unity; since the Absolute is untouched by evil and knows no distinction, hence they are established in the Eternal.",ihaiva tairjitaḥ sargo yeṣāṃ sāmye sthitaṃ manaḥ .nirdoṣaṃ hi samaṃ brahma tasmād brahmaṇi te sthitāḥ 
5,20,न प्रहृष्येत्प्रियं प्राप्य नोद्विजेत्प्राप्य चाप्रियम् |स्थिरबुद्धिरसम्मूढो ब्रह्मविद् ब्रह्मणि स्थितः |,"जो पुरुष प्रिय को प्राप्त होकर हर्षित नहीं हो और अप्रिय को प्राप्त होकर उद्विग्न न हो, वह स्थिर बुद्धि संश्रय रहित ब्रह्मवेत्ता पुरुष सच्चिदानन्दघन परब्रह्म परमात्मा में एकीभाव से नित्य स्थित है |","One who, having obtained the beloved, does not rejoice, and having obtained the unlovely, is not disturbed; that steady-minded, unbewildered knower of Brahman is ever established in the One Supreme Spirit.",na prahṛṣyetpriyaṃ prāpya nodvijetprāpya cāpriyam .sthirabuddhirasammūḍho brahmavid brahmaṇi sthitaḥ 
5,21,बाह्यस्पर्शेष्वसक्तात्मा विन्दत्यात्मनि यत्सुखम् |स ब्रह्मयोगयुक्तात्मा सुखमक्षयमश्नुते |,"बाहर के विषयों में आसक्ति रहित अन्तःकरण वाला साधक, आत्मा में स्थित जो ध्यान जनित सात्त्विक आनन्द है, उसको प्राप्त होता है; तदनन्तर वह सच्चिदानन्दधन परब्रह्म परमात्मा के ध्यान रूप योग में अभिन्नभाव से स्थित पुरुष अक्षय आनन्द का अनुभव करता है |","He whose mind remains unattached to sense-objects, derives through meditation the Sattvika joy which dwells in the mind; then that Yogi, having completely identified himself through meditation with Brahma enjoys eternal Bliss.",bāhyasparśeṣvasaktātmā vindatyātmani yatsukham .sa brahmayogayuktātmā sukhamakṣayamaśnute 
5,22,ये हि संस्पर्शजा भोगा दुःखयोनय एव ते |आद्यन्तवन्तः कौन्तेय न तेषु रमते बुधः |,"जो ये इन्द्रिय तथा विषयों के संयोग से उत्पन्न होने वाले सब भोग हैं, वे यद्यपि विषयी पुरुषों को सुख रूप भासते हैं तो भी दुःख के ही हेतु हैं और आदि अन्त वाले अर्थात अनित्य हैं। इसलिए हे अर्जुन! बुद्धिमान विवेकी पुरुष उनमें नहीं रमता|","The pleasures which are born of sense-contacts are verily a source of suffering only. They have a beginning and an end. Arjuna, it is for this reason that a wise man does not indulge in them.",ye hi saṃsparśajā bhogā duḥkhayonaya eva te .ādyantavantaḥ kaunteya na teṣu ramate budhaḥ 
